City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
371,Aquiraz,BR,77.18,-3.9014,-38.3911,overcast clouds,Pousada Rua Camurupim
372,Galesong,ID,82.42,-5.3166,119.3661,broken clouds,Sapriadi Appy
375,Cockburn Town,TC,81.81,21.4612,-71.1419,clear sky,Osprey Beach Hotel
376,Ammon,US,83.95,43.4696,-111.9666,clear sky,"Holiday Inn Express & Suites Idaho Falls, an IHG Hotel"
377,San Patricio,US,86.09,28.017,-97.5169,clear sky,"Motel 6 Sinton, TX"
379,Kahului,US,83.97,20.8947,-156.47,broken clouds,Maui Seaside Hotel
380,Constantine,DZ,76.41,36.365,6.6147,broken clouds,Grand Hotel Cirta
382,Assiniboia,CA,75.02,49.6334,-105.9845,clear sky,Canalta Hotel Assiniboia
384,Trincomalee,LK,81.52,8.5711,81.2335,overcast clouds,Welcombe Hotel
385,Port Hedland,AU,71.65,-20.3167,118.5667,few clouds,The Esplanade Hotel
389,Magdagachi,RU,75.94,53.45,125.8,scattered clouds,Motopolyana Magdagachi
390,Casino,AU,70.57,-28.8667,153.05,overcast clouds,Squatters Homestead Motel
391,Meulaboh,ID,81.48,4.1363,96.1285,broken clouds,Kost Pria
393,Amapa,BR,70.59,1.0,-52.0,few clouds,
395,Prainha,BR,76.39,-1.8,-53.48,broken clouds,Casa Rocha
402,Kieta,PG,85.66,-6.2167,155.6333,overcast clouds,Uruna Bay Retreat
404,Natal,BR,73.62,-5.795,-35.2094,moderate rain,Villa Park Hotel | Natal
409,Bolgatanga,GH,78.13,10.7856,-0.8514,few clouds,Mama's Place
411,Mabaruma,GY,73.76,8.2,-59.7833,clear sky,Monty Brooms Guest House
413,Bonthe,SL,76.06,7.5264,-12.505,light rain,Bonthe Holiday Village
415,Fuxin,CN,77.9,42.0156,121.6589,broken clouds,Xinya International Hotel
416,Chimore,BO,79.36,-16.9833,-65.1333,overcast clouds,Bichito
419,Auki,SB,84.65,-8.7676,160.7034,broken clouds,Auki Motel
420,Cayenne,GF,82.09,4.9333,-52.3333,clear sky,Hôtel Le Dronmi
424,Iquitos,PE,71.56,-3.7481,-73.2472,few clouds,Cortez Malaga Techy Caroly
425,Kavieng,PG,82.83,-2.5744,150.7967,light rain,Nusa Island Retreat
426,Hamilton,US,76.75,39.1834,-84.5333,mist,Six Acres Bed & Breakfast
428,Waw,SS,71.22,7.7029,27.9953,broken clouds,Universal Gab Hotel
431,Baruun-Urt,MN,77.04,46.6806,113.2792,overcast clouds,Ахмадын амралт сувилал
432,Souillac,MU,70.18,-20.5167,57.5167,smoke,Shanti Maurice Resort & Spa
433,Fairbanks,US,85.6,64.8378,-147.7164,smoke,Westmark Fairbanks Hotel & Conference Center
434,Bengkulu,ID,82.09,-3.8004,102.2655,scattered clouds,Grage Hotel Bengkulu
435,Tual,ID,78.44,-5.6667,132.75,overcast clouds,Grand Vilia Hotel
436,Padang,ID,80.65,-0.9492,100.3543,scattered clouds,Mercure Padang
437,Sao Filipe,CV,75.04,14.8961,-24.4956,overcast clouds,Hotel Xaguate
441,San Mateo Del Mar,MX,83.05,16.2,-95.0,overcast clouds,
442,Kunjah,PK,83.17,32.5285,73.9737,overcast clouds,Ali BaBa
443,Petropavlovsk-Kamchatskiy,RU,70.39,53.0452,158.6483,broken clouds,The Hotel Petropavlovsky
447,Izumo,JP,85.77,35.3667,132.7667,overcast clouds,Toyoko-Inn Izumoshi ekimae
450,Guanica,PR,81.99,17.9716,-66.908,overcast clouds,Copamarina Beach Resort & Spa
453,Hami,CN,82.49,42.8,93.45,clear sky,Laoyutang Resort
455,Tanete,ID,82.85,-3.9443,119.7848,moderate rain,Wisma Tri Multi
456,Vao,NC,75.79,-22.6667,167.4833,overcast clouds,Hotel Kou-Bugny
457,Mersing,MY,83.05,2.4312,103.8405,broken clouds,Timotel Hotel
461,Esna,EG,86.02,25.2934,32.554,clear sky,Orient Star Dahabyia Isna 05 Nights Each Sunday
463,Inongo,CD,70.03,-1.95,18.2667,broken clouds,Hotel Du Lac
464,Mogadishu,SO,75.74,2.0371,45.3438,moderate rain,Hotel Juba
466,San Andres,CO,81.43,12.5847,-81.7006,overcast clouds,Hotel Arena Blanca
468,Awbari,LY,81.21,26.5921,12.7805,clear sky,فندق أوباري
469,Sterling,US,80.17,39.0062,-77.4286,overcast clouds,Hampton Inn & Suites Washington-Dulles International Airport
470,Jutai,BR,73.92,-5.1833,-68.9,overcast clouds,
471,Rambha,IN,83.62,19.5167,85.1,overcast clouds,OTDC Panthanivas - Rambha
474,Manbij,SY,72.9,36.5281,37.9549,scattered clouds,Manbej City Hotel
476,Samarai,PG,83.01,-10.6167,150.6667,scattered clouds,Nuli Sapi
479,Catuday,PH,82.76,16.2923,119.8062,overcast clouds,Benjie's Kubo & Cottages
480,Port Moresby,PG,84.45,-9.4431,147.1797,few clouds,Lamana Hotel (Port Moresby)
483,Urubicha,BO,71.62,-15.3833,-62.95,clear sky,
485,Polis,CY,70.29,35.0367,32.4264,clear sky,Marion
486,Half Moon Bay,US,74.05,37.4636,-122.4286,overcast clouds,"The Ritz-Carlton, Half Moon Bay"
489,Fukue,JP,81.36,32.6881,128.8419,overcast clouds,Goto Guesthouse Utojuku & SA Car Rental
496,Garissa,KE,72.63,-0.4536,39.6401,broken clouds,Sharif Plaza Hotel
501,Pangkalanbuun,ID,86.0,-2.6833,111.6167,few clouds,Grand Kecubung Hotel
502,Sapouy,BF,76.3,11.5544,-1.7736,clear sky,Auberge St Louis
503,Aksu,CN,87.01,41.1231,80.2644,clear sky,Pudong Holiday Hotel
505,Flagstaff,US,78.53,35.1981,-111.6513,clear sky,Drury Inn & Suites Flagstaff
508,Harlingen,US,86.09,26.1906,-97.6961,clear sky,Courtyard by Marriott Harlingen
509,Cabra,ES,73.65,37.4725,-4.4421,clear sky,MS Fuente Las Piedras
511,Puerto Narino,CO,71.87,-3.7703,-70.3831,broken clouds,Eware Refugio Amazonico
513,Cabedelo,BR,75.65,-6.9811,-34.8339,moderate rain,Pousada Camboinha
515,Brewster,US,76.75,41.3973,-73.6171,scattered clouds,Heidi's Inn
517,Darab,IR,85.24,28.7519,54.5444,few clouds,Naghshe shapoor Hotel
518,Abha,SA,70.61,18.2164,42.5053,overcast clouds,Abha Hotel
519,Sokolo,ML,86.88,14.7328,-6.1219,few clouds,
521,Laguna,US,82.45,38.421,-121.4238,clear sky,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
524,Oussouye,SN,79.03,12.485,-16.5469,clear sky,Auberge du Routard
526,Taunggyi,MM,70.32,20.7833,97.0333,broken clouds,True Treasure Hotel
528,Wanxian,CN,88.02,30.8039,108.3897,clear sky,7Days Inn Chongqing Shiqiaopu
529,Byron Bay,AU,71.71,-28.65,153.6167,overcast clouds,Backpackers Inn
530,Florida,US,81.99,28.7505,-82.5001,clear sky,Sportsmens Cove
531,Poum,NC,77.4,-20.2333,164.0167,overcast clouds,
532,Galle,LK,78.93,6.0367,80.217,overcast clouds,Amangalla
533,Floriano,BR,78.91,-6.7669,-43.0225,broken clouds,Hotel Maktub
539,Biu,NG,71.49,10.6129,12.1946,overcast clouds,Emir's Palace
540,Kiunga,PG,74.14,-6.1219,141.2906,overcast clouds,Airport Lodge Kiunga
541,Gat,IL,74.08,31.61,34.7642,clear sky,OlusHome
543,Axim,GH,75.6,4.8699,-2.2405,light rain,Axim Beach Resort And Spa
544,Umm Lajj,SA,83.82,25.0213,37.2685,scattered clouds,Moon light Furnished Units
548,Sola,VU,80.87,-13.8833,167.55,overcast clouds,Leumerus Bungalows
549,Yangjiang,CN,82.74,21.85,111.9667,light rain,HUALUXE Yangjiang City Center
550,Mayo,US,80.94,38.8876,-76.5119,light rain,Resorts Resource Group International
551,Bima,ID,80.46,-8.4667,118.7167,broken clouds,Lambitu Hotel
553,Nalchiti,BD,82.6,22.6333,90.2833,overcast clouds,Al Madina plazza
561,Mao,ES,73.96,39.8885,4.2658,clear sky,ARTIEM Capri
562,Qiongshan,CN,83.53,20.0058,110.3542,overcast clouds,Sun City Restaurant
564,Luwuk,ID,79.75,-0.9516,122.7875,overcast clouds,Hotel Santika Luwuk
566,Angoche,MZ,71.4,-16.2325,39.9086,light rain,Guest House HESADA
568,Pontianak,ID,80.58,-0.0333,109.3333,few clouds,Aston Pontianak Hotel & Convention Center
569,Priargunsk,RU,75.97,50.3691,119.1012,clear sky,24 Chasa
573,Narbonne,FR,74.32,43.0833,2.8333,overcast clouds,Domaine du Soleil Couchant - Bed & Breakfast in
575,Grand-Lahou,CI,76.33,5.1367,-5.0242,light rain,Hotel Beatitude de Grand Lahou
579,Wanning,CN,86.5,18.8003,110.3967,overcast clouds,Paradise Hotel
580,Big Rapids,US,71.91,43.6981,-85.4837,overcast clouds,"Holiday Inn Big Rapids, an IHG Hotel"
581,Takoradi,GH,75.63,4.8845,-1.7554,overcast clouds,Raybow International Hotel
585,Nhulunbuy,AU,79.41,-12.2333,136.7667,broken clouds,East Arnhem Real Estate
586,Impfondo,CG,70.57,1.6381,18.0667,broken clouds,Auberge La Place de Jules
587,Merrill,US,71.37,45.1805,-89.6835,broken clouds,Prairie Motel
588,La Asuncion,VE,79.16,11.0333,-63.8628,overcast clouds,Colinas de Matasiete
589,Kaseda,JP,81.97,31.4167,130.3167,overcast clouds,Sun Stay Kaseda
590,Terrasini,IT,85.08,38.146,13.0844,clear sky,Florio Park Hotel
591,Asyut,EG,81.66,27.181,31.1837,clear sky,فندق ميس إيجيبت Miss Egypt Hotel
592,Itarema,BR,77.94,-2.9248,-39.9167,scattered clouds,"Sea Lounge! Bar, Club & Restaurant"
593,Chumikan,RU,70.3,54.7183,135.315,scattered clouds,Fortuna
594,Bubaque,GW,80.49,11.2833,-15.8333,broken clouds,"Casa Dora, Bubaque"
595,Tateyama,JP,76.64,34.9833,139.8667,overcast clouds,Tateyama Seaside Hotel
597,Thinadhoo,MV,82.4,0.5333,72.9333,moderate rain,
600,Kalmunai,LK,83.03,7.4167,81.8167,overcast clouds,VS Villa
601,Mokolo,CM,73.08,10.7398,13.8019,overcast clouds,Diwa Hôtel
604,Zalantun,CN,79.21,48.0,122.7167,clear sky,GreenTree Alliance Hulunbeier Zhalantun Railway Station Hotel
605,Redlands,US,88.2,34.0556,-117.1825,clear sky,Dynasty Suites Redlands
607,Sulangan,PH,82.67,11.1373,123.7228,scattered clouds,Maia's Beach Resort
609,Namatanai,PG,82.71,-3.6667,152.4333,moderate rain,Seagulls Inn Namatani
611,Edgewater,US,80.1,28.9889,-80.9023,clear sky,Islander Beach Resort
615,Zhanjiang,CN,82.06,21.2815,110.3427,heavy intensity rain,创业旅店
617,Rincon,US,84.85,32.296,-81.2354,broken clouds,Days Inn Rincon
620,Saiha,IN,75.85,22.4833,92.9667,broken clouds,"Circuit House, Siaha"
621,Lorengau,PG,83.66,-2.0226,147.2712,overcast clouds,Lorengau Harbourside Hotel
622,Ibotirama,BR,71.06,-12.1853,-43.2206,clear sky,Serra do Rio Hotel
623,Dromolaxia,CY,78.98,34.8761,33.586,scattered clouds,Sea N Lake View Hotel Apartments
626,Los Angeles,US,86.02,34.0522,-118.2437,clear sky,Kawada Hotel
627,Kumluca,TR,79.86,36.3703,30.2869,clear sky,Akkol Apart
628,Mandan,US,81.81,46.8267,-100.8896,clear sky,Twin City Estates
629,Korhogo,CI,71.24,9.45,-5.6333,overcast clouds,Hôtel Tchinbota
631,Salinas,US,77.0,36.6777,-121.6555,clear sky,Laurel Inn & Conference Center
635,Qrendi,MT,80.26,35.8347,14.4583,clear sky,M'Anglu
639,Alice,US,84.51,27.7523,-98.0697,clear sky,"Holiday Inn Express & Suites Alice, an IHG Hotel"
641,Lastoursville,GA,74.28,-0.8143,12.7287,broken clouds,Auberge Bon Coin 02
645,Kununurra,AU,71.58,-15.7667,128.7333,clear sky,Hotel Kununurra
647,Bintulu,MY,82.45,3.1667,113.0333,broken clouds,900 Boutique INN
648,Karpathos,GR,73.36,35.507,27.2132,clear sky,Alex
650,Guiyang,CN,79.47,26.5833,106.7167,scattered clouds,Guo Tai Hotel Guiyang
651,Wahiawa,US,79.12,21.5028,-158.0236,overcast clouds,The Inn At Schofield
652,Ascension,US,82.02,30.2169,-90.9001,clear sky,Highland Inn
654,Mahibadhoo,MV,82.94,3.7833,72.9667,overcast clouds,Omadhoo Inn
658,Nantucket,US,70.02,41.2835,-70.0995,clear sky,Jared Coffin House
659,Seymchan,RU,83.77,62.8833,152.4333,few clouds,
661,Colares,PT,74.39,38.7992,-9.4469,clear sky,Arribas Sintra Hotel
663,Koroni,GR,78.08,36.8,21.95,clear sky,Apartments Xenios Zeus 1
666,Loreto,MX,72.39,22.2667,-101.9667,clear sky,José de Jesús Velásquez mora
668,Walla Walla,US,84.49,46.0646,-118.343,clear sky,"Holiday Inn Express Walla Walla, an IHG Hotel"
676,Caucaia,BR,77.04,-3.7361,-38.6531,broken clouds,M.O.S. Logística - Filial Fortaleza
678,Guane,CU,78.82,22.2025,-84.0875,overcast clouds,base de Campismo LosPortales de Guane
679,Lashio,MM,73.49,22.9333,97.75,overcast clouds,Hotel CF Lashio - Burmese Only
682,Champasak,LA,77.45,14.75,106.0,moderate rain,Kiat Ngong Wetland BUNGALOW
684,Kerman,IR,77.63,30.2832,57.0788,few clouds,هتل آپارتمان آسام
685,Ingham,US,70.11,42.6,-84.3833,clear sky,Sunset Mobile Home Park
691,Marzuq,YE,80.55,14.4,46.4667,overcast clouds,
692,Teahupoo,PF,76.96,-17.8333,-149.2667,light rain,Vanira Lodge
693,Vanimo,PG,84.54,-2.6741,141.3028,overcast clouds,Vahmoneh Lodge Vanimo
697,Santa Rosalia,MX,85.57,27.3167,-112.2833,clear sky,Hotel Las Casitas Santa Rosalia
700,Altoona,US,73.56,40.5187,-78.3947,overcast clouds,Cedar Grove Motel
703,Salinopolis,BR,77.49,-0.6136,-47.3561,clear sky,Salinas Park Resort Maçarico AP101
704,Palmerston,AU,76.89,-12.486,130.9833,clear sky,Quest Palmerston - Serviced Apartments and Accommodation
